title,description,pubdate,author,kewords,challenge,task,phase,resourceType,county,link
2016 City of Monterey Sea Level Rise and Vulnerability Analyzes – Existing Conditions and Issues ,Detailed sector based assessment of the impacts of coastal hazards and sea level rise.  This assessment was designed as a first step in completing the local coastal program requirements,2016,City of Monterey,"Exposure, vulnerability, sector based approach",3,"3,4",1,1,2,http://www.monterey.org/Portals/0/Policies-Procedures/Planning/WorkProgram/LCP/16_0316_FINAL_Monterey_ExistingConditions_wAppendixA_WEB.pdf
City of Pacific Grove Climate Change Vulnerability Assessment,"City specific example of a vulnerability assessment. Uses guidance from the state to assess exposure, sensitivity, potential impacts, adaptive capacity, and risk for a number of key city assets.  This assessment covers sea level rise as part of a fuller suite of climate change impacts.",2015,City of Pacific Grove,"city scale, state guidance, exposure, ","3,1","3,5",1,1,2,http://www.cityofpacificgrove.org/sites/default/files/general-documents/local-coastal-program/pg-lcp-final-vulnerability-assessment-011515.pdf
City of Santa Barbara Sea Level Rise Vulnerability Assessment - Full Report,"Thorough assessment of vulnerability including analysis of exposure, sensitivity and adaptive capacity.",2015,The Bren School of Environmental Science & Management,"Exposure, modeling, sensitivity, storms, erosion, adaptive capacity",3,4,1,1,4,http://www.esm.ucsb.edu/research/2015Group_Projects/documents/SeaLevelRiseSB_Thesis.pdf
City of Santa Barbara Sea-Level Rise Vulnerability Assessment: A Summary Report,A web based summary of the full California Energy Commission report on the City of Santa Barbara's sea level rise vulnerability.,2014,"University of California Santa Cruz, Coastal Care","adaptive capacity, climate change, coastal cliff erosion, coastal hazards, coastal storm damage, flooding, inundation, risk assessment, vulnerability assessment, wave climate",13,4,1,1,4,http://coastalcare.org/2014/06/city-of-santa-barbara-sea-level-rise-vulnerability-assessment-a-summary-report/
City of Santa Cruz City Climate Change Vulnerability Assessment,Initial assessment of vulnerability and likely impacts to sea level rise in the City of Santa Cruz.  Includes possible actions for specific threats.,2011,"Gary Griggs, Brent Haddad","adaptive capacity, coastal hazards, flooding, coastal storm damage",3,4,1,1,1,https://seymourcenter.ucsc.edu/OOB/SCClimateChangeVulnerabilityAssessment.pdf
Developing Adaptation Strategies for San Luis Obispo County: Preliminary Climate Change Vulnerability Assessment for Social Systems,"Unlike many other assessments, report focuses on the social systems of San Luis Obispo County and how they will interact with climate change.  Looks at demographics, economic sectors, and community services.",2012,California Energy Commission,"regional climate studies, climate vulnerability, adaptive capacity",5,4,1,1,3,http://www.energy.ca.gov/2012publications/CEC-500-2012-054/CEC-500-2012-054.pdf
Monterey Bay Sea Level Rise and Vulnerability Assessment - Technical Methods Report,Detailed spatial analysis of erosion and inundation under future sea level rise scenarios.,2014,The Monterey Bay Sanctuary Foundation,"Geospatial analysis, erosion, wave modeling, inundation, dunes, cliffs",3,4,1,1,2,http://montereybay.noaa.gov/resourcepro/resmanissues/pdf/140616erosion-vuln_tech-methods.pdf
Projected Future Climatic and Ecological Conditions in San Luis Obispo County,County scale climate change projections.  They are designed to inform local long?term planning and decision making.  This report includes sea level rise along side other climate impacts.,2010,"National Center for Conservation Science & Policy, Local Government Commission, The MAPSS Team at the USDA Forest Service Pacific Northwest Research Station","Climate models, preliminary results",3,4,1,1,3,http://www.lgc.org/wordpress/docs/adaptation/slo/SLOModelReport_FINALsmall.pdf
Santa Barbara County Coastal Resiliency Project,Website provides summary information into Santa Barbara County's multi-year effort to evaluated the impacts of sea level rise.  Ultimately the goal is use this information to promote policies to mitigate the impacts of coastal hazards.,2016,County of Santa Barbara,"coastal erosion, coastal flooding, fluvial flooding, modeling","1,3,8",3,1,11,4,http://longrange.sbcountyplanning.org/programs/Coastal Resiliency Project/coastalresiliency.php
"Sea level rise and coastal flood risk: Summary for Monterey County, CA",Summary of findings from Climate Central’s Surging Seas Risk Finder tool.  Provides an initial estimate of assets and people exposed to future flood events.,2016,Climate Central,"Exposure, flood forecast, risk assessment",4,4,1,4,2,http://ssrf.climatecentral.org.s3-website-us-east-1.amazonaws.com/Buffer2/states/CA/downloads/pdf_reports/County/CA_Monterey_County-report.pdf
"Sea level rise and coastal flood risk: Summary for San Luis Obispo County, CA",Summary of findings from Climate Central’s Surging Seas Risk Finder tool.  Provides an initial estimate of assets and people exposed to future flood events.,2016,Climate Central,"Exposure, flood forecast, risk assessment",4,4,1,4,3,http://ssrf.climatecentral.org.s3-website-us-east-1.amazonaws.com/Buffer2/states/CA/downloads/pdf_reports/County/CA_San_Luis_Obispo_County-report.pdf
"Sea level rise and coastal flood risk: Summary for Santa Barbara County, CA",Summary of findings from Climate Central’s Surging Seas Risk Finder tool.  Provides an initial estimate of assets and people exposed to future flood events.,2016,Climate Central,"Exposure, flood forecast, risk assessment",4,4,1,4,4,http://ssrf.climatecentral.org.s3-website-us-east-1.amazonaws.com/Buffer2/states/CA/downloads/pdf_reports/County/CA_Santa_Barbara_County-report.pdf
"Sea level rise and coastal flood risk: Summary for Santa Cruz County, CA",Summary of findings from Climate Central’s Surging Seas Risk Finder tool.  Provides an initial estimate of assets and people exposed to future flood events.,2016,Climate Central,"Exposure, flood forecast, risk assessment",4,4,1,4,1,http://ssrf.climatecentral.org.s3-website-us-east-1.amazonaws.com/Buffer2/states/CA/downloads/pdf_reports/County/CA_Santa_Cruz_County-report.pdf
"Sea level rise and coastal flood risk: Summary for Ventura County, CA",Summary of findings from Climate Central’s Surging Seas Risk Finder tool.  Provides an initial estimate of assets and people exposed to future flood events.,2016,Climate Central,"Exposure, flood forecast, risk assessment",4,4,1,4,5,http://ssrf.climatecentral.org.s3-website-us-east-1.amazonaws.com/Buffer2/states/CA/downloads/pdf_reports/County/CA_Ventura_County-report.pdf
City of Santa Barbara Climate Action Plan,City specific climate action plan.  It covers both climate mitigation and climate adaptation.  ,2012,City of Santa Barbara,"Planning, all climate impacts, local action plan",6,7,"1,2",6,4,https://www.santabarbaraca.gov/civicax/filebank/blobdload.aspx?BlobID=17720
County of San Luis Obispo Energy Wise Plan - Chapter 7 - Adaptation,A chapter of the county's climate action plan. The section identifies climate change impacts and actions based on timing of when it should start.  This report includes sea level rise along side other climate impacts.,2011,County of San Luis Obispo,"Sector specific strategies, ongoing measures, mid-term measures, long-term measures",9,7,"1,2",6,3,http://www.slocounty.ca.gov/Assets/PL/CAP-LUCE/final/7-SLOCoEWP_Ch7.pdf
Evaluation of Erosion Mitigation Alternatives for Southern Monterey Bay,Recommendations for regional and subregional solutions to erosion.  Also includes a detailed evaluation of erosion mitigation measures.,2012,"The Monterey Bay Sanctuary Foundation, The Southern Monterey Bay Coastal Erosion Working Group","Solutions, erosion, cost benefit, takings claims","10,3",4,"1,2",8,2,http://montereybay.noaa.gov/new/2012/erosion.pdf
Goleta Slough 2015 Management Plan ,Assesses vulnerability and risk to both environmental and human resources.  Recommends policies and potential adaptation strategies. Integrates the interests of multiple stakeholders.  Could be used to guide local planning.,2015,Goleta Slough Management Committee,"Risk, vulnerability, natural ecosystem functions, management strategies",3,8,"1,2",6,4,http://www.goletaslough.org/committee/2016-goleta-slough-management-plan/
City of Santa Cruz Climate Adaptation Plan,FEMA approved update to the local hazard mitigation plan.  This version focuses on climate change considerations including sea level rise.,2011,City of Santa Cruz,"Hazard mitigation plan, FEMA, priority actions, costs and benefits","6,9",2,"1,2,4",6,1,http://www.cityofsantacruz.com/home/showdocument?id=23644
City of Goleta Coastal Hazards Vulnerability and Fiscal Impact Report,City specific science-based assessment informed by local stakeholders.  Provides recommended actions for the city.,2015,City of Goleta,"Fiscal impact analysis, regulatory approaches, coastal hazards, stakeholder engagement, sector based approach","3,6","2,3","1,2",6,4,http://www.cityofgoleta.org/home/showdocument?id=11317
Coastal Resilience Project - Ventura County,Decision-support network (including website) which includes short write ups about the challenges and suggested solutions for participating communities.  Also provides tools and information about coastal resilience.,2016,The Nature Conservancy,"natural infrastructure, solutions to key challenges, economic analysis",3,9,"1,2",4,5,http://coastalresilience.org/project/ventura-county/
City of Santa Barbara Sea Level Rise Vulnerability Study,Initial assessment of vulnerability and likely impacts to sea level rise in the City of Santa Barbara.  Includes possible actions for specific threats.,2012,California Energy Commission,"adaptive capacity, climate change, coastal cliff erosion, coastal hazards, coastal storm damage, flooding, inundation, risk assessment, vulnerability assessment, wave climate",3,4,"1,2",1,4,http://www.energy.ca.gov/2012publications/CEC-500-2012-039/CEC-500-2012-039.pdf
